id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C00001,El Fassi,Ahmed,ahmed.el fassi505@gmail.com,1949-08-12,Homme,Oujda,688831486,2025-12-04,Direct
C00002,Idrissi,Fatima,fatima.idrissi631@outlook.com,1927-08-15,Femme,Rabat,658678896,2026-01-30,Instagram
C00003,Ghazali,Zineb,zineb.ghazali63@outlook.com,1911-11-07,Femme,tanger,654762841,2025-09-04,Google
C00004,Drissi,Anas,anas.drissi71@yahoo.fr,1942-03-26,Homme,TANGER,629419691,2025-12-29,Instagram
C00005,Bennani,Youssef,youssef.bennani677@gmail.com,1975-06-01,Homme,Marrakech,645617024,2026-03-19,Google
C00006,Jebli,Mehdi,mehdi.jebli117@gmail.com,1957-09-08,Homme,Tanger,650484137,2025-01-27,Facebook
C00007,Idrissi,Ahmed,ahmed.idrissi868@outlook.com,1909-02-11,Femme,Marrakech,618815720,2026-01-02,Instagram
C00008,Kabbaj,Anas,anas.kabbaj562@hotmail.com,1958-09-20,Femme,Oujda,623311507,2024-05-23,Facebook
C00009,Drissi,Zineb,zineb.drissi441@outlook.com,1951-07-24,Femme,Casablanca,651949529,2025-02-28,Instagram
C00010,Ghazali,Omar,omar.ghazali977@yahoo.fr,2006-02-03,Homme,Oujda,622960658,2025-04-25,Google
C00011,Alami,Zineb,zineb.alami601@hotmail.com,2011-12-02,Femme,Fès,690585678,2025-06-26,Instagram
C00012,Kabbaj,Fatima,fatima.kabbaj520@yahoo.fr,1944-09-12,Homme,Casablanca,647388792,2024-10-01,Google
C00013,Jebli,Mehdi,mehdi.jebli998@gmail.com,1903-03-09,Femme,Fès,655610493,2025-05-17,Facebook
C00014,Chraibi,Youssef,youssef.chraibi580@outlook.com,1911-12-17,Homme,Rabat,660491958,2025-03-08,Direct
C00015,Chraibi,Sanaa,sanaa.chraibi379@hotmail.com,2013-01-05,Homme,Marrakech,692924837,2026-03-22,Facebook
C00016,Idrissi,Omar,omar.idrissi678@outlook.com,1927-09-04,Femme,Agadir,667702031,2026-01-18,Instagram
C00017,Idrissi,Anas,anas.idrissi540hotmail.com,1900-04-10,Homme,Rabat,628419343,2025-08-23,Instagram
C00018,Bennani,Sanaa,sanaa.bennani8@outlook.com,1968-12-08,Femme,Agadir,619673809,2025-03-31,Facebook
C00019,Alami,Mehdi,mehdi.alami471@gmail.com,1990-11-14,Femme,Fès,625458308,2025-03-23,Facebook
C00020,Chraibi,Sanaa,sanaa.chraibi821@outlook.com,1955-02-08,Homme,Oujda,689036966,2025-03-27,Facebook
C00021,El Fassi,Mehdi,mehdi.el fassi764@hotmail.com,1965-11-04,Homme,Rabat,656892354,2025-05-17,Google
C00022,Bennani,Khadija,khadija.bennani150@hotmail.com,1922-11-16,Homme,Meknès,685663295,2024-09-25,Direct
C00023,Kabbaj,Anas,anas.kabbaj331@hotmail.com,1980-05-26,Femme,Fès,689379016,2026-03-15,Instagram
C00024,Bennani,Zineb,zineb.bennani318@outlook.com,1909-11-28,Femme,Casablanca,692545028,2024-09-10,Direct
C00025,Kabbaj,Imane,imane.kabbaj568@gmail.com,1941-10-16,Homme,Marrakech,618304547,2025-02-04,Facebook
C00026,Bennani,Sanaa,sanaa.bennani517yahoo.fr,1967-09-20,Femme,Marrakech,658841557,2025-04-25,Instagram
C00027,Haddad,Mehdi,mehdi.haddad794@hotmail.com,1908-06-04,Femme,Oujda,648137561,2025-08-26,Google
C00028,Bennani,Sanaa,sanaa.bennani597@yahoo.fr,1916-10-23,Femme,Casablanca,651551377,2024-10-16,Direct
C00029,Chraibi,Sanaa,sanaa.chraibi687@gmail.com,1902-06-10,Femme,Marrakech,638748452,2025-05-27,Direct
C00030,Drissi,Khadija,khadija.drissi141@yahoo.fr,1964-09-27,Homme,TANGER,692950779,2025-12-28,Direct
C00031,Chraibi,Youssef,youssef.chraibi186@yahoo.fr,1986-12-08,Femme,Meknès,691952730,2025-07-24,Direct
C00032,Jebli,Khadija,khadija.jebli245@hotmail.com,1947-11-19,Homme,Meknès,671965637,2025-07-27,Direct
C00033,Jebli,Zineb,zineb.jebli429@yahoo.fr,2011-05-02,Homme,Meknès,659823245,2024-10-21,Facebook
C00034,Bennani,Zineb,zineb.bennani292@gmail.com,2006-07-03,Homme,Rabat,670549373,2025-05-19,Facebook
C00035,Alami,Mehdi,mehdi.alami406@hotmail.com,1928-01-11,Femme,Casablanca,697236246,2025-06-02,Google
C00036,Alami,Youssef,youssef.alami294@outlook.com,1957-10-01,Femme,Casablanca,612550658,2025-08-22,Google
C00037,Jebli,Youssef,youssef.jebli963@outlook.com,1915-01-08,Femme,Oujda,695758649,2024-08-12,Direct
C00038,Bennani,Fatima,fatima.bennani857@outlook.com,1991-03-10,Homme,Oujda,610209961,2024-08-20,Instagram
C00039,Kabbaj,Khadija,khadija.kabbaj427@yahoo.fr,1908-09-18,Femme,Tnja,673100462,2026-03-28,Direct
C00040,El Fassi,Sanaa,sanaa.el fassi766@gmail.com,1993-11-21,Homme,Casablanca,688101741,2025-06-05,Google
C00041,Ghazali,Ahmed,ahmed.ghazali560@hotmail.com,2025-12-16,Femme,Marrakech,628099607,2026-03-08,Direct
