id_client,nom_complet,email,tranche_age,sexe,ville,segment_client,canal_acquisition,region
C04444,Youssef Bennani,youssef.bennani558@yahoo.fr,,f,Meknès,Gold,Facebook,Fès-Meknès
C02250,Khadija Ghazali,khadija.ghazali926@gmail.com,45-54,f,Casablanca,Gold,Direct,Casablanca-Settat
C04663,Anas Chraibi,anas.chraibi910@gmail.com,25-34,m,Meknès,Gold,Facebook,Fès-Meknès
C00364,Ahmed Bennani,ahmed.bennani437@outlook.com,45-54,f,Agadir,Gold,Facebook,Souss-Massa
C00507,Imane Idrissi,imane.idrissi21@outlook.com,,f,Casablanca,Gold,Direct,Casablanca-Settat
C01187,Fatima Bennani,fatima.bennani783@yahoo.fr,65+,m,Marrakech,Gold,Instagram,Marrakech-Safi
C04168,Mehdi Bennani,mehdi.bennani866@gmail.com,65+,m,Marrakech,Silver,Google,Marrakech-Safi
C02472,Fatima Alami,fatima.alami500@gmail.com,65+,m,Fès,Gold,Facebook,Fès-Meknès
C00329,Mehdi Drissi,mehdi.drissi390@gmail.com,,m,Meknès,Gold,Facebook,Fès-Meknès
C00569,Anas Bennani,anas.bennani172@outlook.com,55-64,f,Marrakech,Bronze,Instagram,Marrakech-Safi
C02966,Zineb Idrissi,zineb.idrissi548@gmail.com,35-44,m,Rabat,Gold,Google,Rabat-Salé-Kénitra
C01094,Omar El Fassi,,18-24,m,Rabat,Gold,Instagram,Rabat-Salé-Kénitra
C01959,Zineb Haddad,zineb.haddad435@outlook.com,18-24,f,Agadir,Gold,Google,Souss-Massa
C01111,Fatima Kabbaj,fatima.kabbaj54@yahoo.fr,,f,TNG,Gold,Facebook,
C02231,Sanaa El Fassi,,65+,f,Agadir,Gold,Instagram,Souss-Massa
C03087,Zineb El Fassi,,18-24,m,Meknès,Gold,Direct,Fès-Meknès
C02920,Imane Chraibi,imane.chraibi534@yahoo.fr,35-44,m,TANGER,Gold,Facebook,
C01263,Anas Drissi,anas.drissi890@yahoo.fr,,f,Casablanca,Gold,Direct,Casablanca-Settat
C00995,Mehdi Drissi,,45-54,m,Oujda,Gold,Instagram,Oriental
C02885,Omar Chraibi,omar.chraibi694@outlook.com,25-34,f,Agadir,Gold,Google,Souss-Massa
C00443,Fatima Chraibi,fatima.chraibi946@gmail.com,,f,Agadir,Gold,Instagram,Souss-Massa
C03189,Ahmed Bennani,ahmed.bennani331@outlook.com,,f,Oujda,Silver,Facebook,Oriental
C01341,Fatima Haddad,fatima.haddad700@gmail.com,65+,f,Rabat,Gold,Google,Rabat-Salé-Kénitra
C00588,Ahmed Bennani,ahmed.bennani655@outlook.com,65+,m,Fès,Bronze,Google,Fès-Meknès
C03215,Sanaa Haddad,,65+,f,Oujda,Gold,Direct,Oriental
C00419,Ahmed Bennani,ahmed.bennani393@hotmail.com,,f,Casablanca,Gold,Google,Casablanca-Settat
C02950,Mehdi Kabbaj,mehdi.kabbaj749@hotmail.com,18-24,f,Fès,Silver,Facebook,Fès-Meknès
C01779,Youssef Chraibi,youssef.chraibi262@hotmail.com,65+,f,Fès,Gold,Direct,Fès-Meknès
C00421,Zineb Haddad,zineb.haddad284@gmail.com,55-64,f,Casablanca,Gold,Instagram,Casablanca-Settat
C02976,Fatima Jebli,fatima.jebli225@yahoo.fr,65+,f,Fès,Gold,Google,Fès-Meknès
C04061,Sanaa Ghazali,sanaa.ghazali881@yahoo.fr,55-64,f,Casablanca,Bronze,Instagram,Casablanca-Settat
C02690,Mehdi Chraibi,mehdi.chraibi310@hotmail.com,,m,Rabat,Gold,Instagram,Rabat-Salé-Kénitra
C00426,Youssef Ghazali,youssef.ghazali292@outlook.com,25-34,m,Marrakech,Bronze,Google,Marrakech-Safi
C00779,Imane Chraibi,imane.chraibi286@hotmail.com,65+,f,Marrakech,Bronze,Instagram,Marrakech-Safi
C00843,Ahmed El Fassi,,65+,f,Agadir,Silver,Direct,Souss-Massa
C00486,Khadija Ghazali,khadija.ghazali597@outlook.com,,f,Rabat,Gold,Direct,Rabat-Salé-Kénitra
C00956,Mehdi El Fassi,,25-34,m,Casablanca,Bronze,Instagram,Casablanca-Settat
C04084,Fatima El Fassi,,65+,f,Tnja,Silver,Google,
C04095,Youssef Kabbaj,,55-64,m,Marrakech,Gold,Instagram,Marrakech-Safi
C00172,Anas Bennani,anas.bennani345@hotmail.com,18-24,f,Agadir,Silver,Instagram,Souss-Massa
C02566,Youssef El Fassi,,65+,m,Casablanca,Gold,Facebook,Casablanca-Settat
C02222,Khadija Alami,khadija.alami587@hotmail.com,35-44,m,Oujda,Bronze,Facebook,Oriental
C00427,Youssef Drissi,youssef.drissi120@gmail.com,65+,f,Rabat,Gold,Facebook,Rabat-Salé-Kénitra
C00404,Youssef Bennani,youssef.bennani811@outlook.com,,f,Marrakech,Gold,Instagram,Marrakech-Safi
C00853,Zineb Idrissi,zineb.idrissi436@outlook.com,65+,m,Oujda,Gold,Direct,Oriental
C01046,Youssef Idrissi,youssef.idrissi641@outlook.com,,f,Fès,Gold,Direct,Fès-Meknès
C00875,Ahmed Idrissi,ahmed.idrissi164@hotmail.com,35-44,f,Oujda,Gold,Google,Oriental
C00342,Anas Drissi,anas.drissi904@outlook.com,25-34,m,Casablanca,Gold,Direct,Casablanca-Settat
C01656,Ahmed Idrissi,ahmed.idrissi427@outlook.com,35-44,f,Meknès,Bronze,Google,Fès-Meknès
C00985,Youssef Jebli,youssef.jebli224@hotmail.com,45-54,m,Marrakech,Gold,Google,Marrakech-Safi
C00795,Omar Chraibi,omar.chraibi621@outlook.com,,m,Rabat,Gold,Instagram,Rabat-Salé-Kénitra
C00534,Anas Jebli,anas.jebli194@outlook.com,,m,Rabat,Bronze,Direct,Rabat-Salé-Kénitra
C00574,Fatima Bennani,fatima.bennani369@gmail.com,65+,f,Fès,Gold,Google,Fès-Meknès
C03035,Imane Drissi,imane.drissi931@outlook.com,,m,TANGER,Gold,Direct,
C02917,Mehdi Kabbaj,mehdi.kabbaj758@hotmail.com,,f,Meknès,Gold,Google,Fès-Meknès
C04778,Ahmed Idrissi,ahmed.idrissi105@yahoo.fr,65+,f,Agadir,Silver,Instagram,Souss-Massa
C03157,Mehdi Bennani,mehdi.bennani89@hotmail.com,,f,Fès,Gold,Instagram,Fès-Meknès
C02502,Imane Drissi,imane.drissi390@outlook.com,65+,m,Meknès,Gold,Google,Fès-Meknès
C03298,Fatima Ghazali,fatima.ghazali498@yahoo.fr,,m,Fès,Gold,Facebook,Fès-Meknès
C02106,Ahmed Jebli,ahmed.jebli658@gmail.com,35-44,m,Marrakech,Gold,Google,Marrakech-Safi
C03898,Fatima Idrissi,fatima.idrissi595@yahoo.fr,,f,Fès,Bronze,Facebook,Fès-Meknès
C00132,Youssef Kabbaj,youssef.kabbaj143@yahoo.fr,55-64,f,Marrakech,Gold,Instagram,Marrakech-Safi
C04315,Omar Bennani,omar.bennani131@hotmail.com,,f,Meknès,Silver,Google,Fès-Meknès
C03635,Zineb El Fassi,,,m,Marrakech,Gold,Google,Marrakech-Safi
C03966,Omar Haddad,omar.haddad711@hotmail.com,25-34,f,Agadir,Gold,Direct,Souss-Massa
C03673,Omar Chraibi,omar.chraibi150@hotmail.com,65+,f,Rabat,Gold,Facebook,Rabat-Salé-Kénitra
C03741,Omar Chraibi,omar.chraibi753@hotmail.com,25-34,m,Agadir,Gold,Facebook,Souss-Massa
C01797,Anas Bennani,,18-24,f,Fès,Gold,Google,Fès-Meknès
C03380,Youssef Kabbaj,youssef.kabbaj983@outlook.com,65+,f,Marrakech,Gold,Instagram,Marrakech-Safi
